CIN,DIN,DIRECTOR_NAME
U56461272018PTC129828,70820382,Pooja Shah
U86230272022PTC593072,50158160,Kavita Trivedi
U85073272022PTC705098,79316990,Gaurav Mehta
U57352272022PTC476379,18347493,Rohit Bansal
U72423272012PTC225218,79651618,Geeta Saxena
U26662192021PTC508313,76951467,Kiran Yadav
U72043192021PTC034192,76951467,Kiran Yadav
U84942192021PTC303658,88423925,Sandeep Mishra
U87283192021PTC442245,76951467,Kiran Yadav
U55698192021PTC070847,88423925,Sandeep Mishra
U59454192021PTC498313,76951467,Kiran Yadav
U21706192021PTC838664,76951467,Kiran Yadav
U68077192021PTC771661,76951467,Kiran Yadav
U83537192021PTC676499,76951467,Kiran Yadav
U12486272022PTC288320,86536905,Arjun Menon
U51999272022PTC421316,86536905,Arjun Menon
U60070272022PTC269671,86536905,Arjun Menon
U43496272022PTC805626,17096679,Ajay Mehta
U52636272022PTC190273,86536905,Arjun Menon
U59219272022PTC987316,17096679,Ajay Mehta
U18579242020PTC507691,61680358,Vikram Malhotra
U42285242020PTC800041,61680358,Vikram Malhotra
U36667242020PTC820911,61680358,Vikram Malhotra
U47912242020PTC684782,61680358,Vikram Malhotra
U37886242020PTC613584,77702274,Deepak Patel
