DIN,Director_Name,CIN,Company_Name,Designation,Date_of_Appointment,Date_of_Cessation,Nationality,Gender,Synthetic_Ring_ID
9666826,Swati Dubey,U14101RJ2023PLC100679,Lakshmi Commodities Limited,Managing Director,03/01/2024,,Indian,Female,
8534991,Mahesh Nair,U70200KA2011PTC100618,Aastha Infra Private Limited,Managing Director,07/07/2011,,Indian,Male,
8912186,Sachin Tiwari,U14101WB2016PLC100992,Emerald Finance Limited,Nominee Director,11/09/2016,,Indian,Male,
9966140,Ishaan Verma,U70200UP2007PTC100550,Vertex Impex Private Limited,Whole-time Director,05/05/2007,,Indian,Male,
9477495,Vivek Patel,U70200UP2024PTC100280,Falcon Solutions Private Limited,Whole-time Director,30/07/2024,,Indian,Male,
9677443,Manoj Gupta,U63990WB2018PLC100813,Radiant Constructions Limited,Director,21/06/2018,,Indian,Male,
9927715,Pooja Iyer,U82990MH2019PTC100771,Orion Services Private Limited,Nominee Director,21/12/2019,,Indian,Female,
9310213,Deepa Jain,U41001PB2016PLC100340,Rudra Merchants Limited,Director,11/03/2016,,Indian,Female,
9104266,Mahesh Dubey,U47190TN2025PTC100985,Platinum Developers Private Limited,Whole-time Director,17/02/2025,,Indian,Male,
9950867,Jyoti Chopra,U46310WB2025PTC100199,Trident Ventures Private Limited,Managing Director,21/03/2025,,Indian,Female,
8542449,Sanjay Goyal,U62011HR2015PTC100523,Ashirwad Technologies Private Limited,Additional Director,25/05/2015,,Indian,Male,
8444193,Sarita Patel,U46900TN2023PTC100108,Anmol Infra Private Limited,Independent Director,20/06/2023,,Indian,Female,RING-16
8651667,Geeta Dubey,U46900TG2025PTC100933,Superior Textiles Private Limited,Director,01/11/2025,,Indian,Female,
8257189,Anil Arora,U52290RJ2023PTC100087,Capital Trading Private Limited,Director,11/08/2023,,Indian,Male,RING-13
8251923,Rajesh Saxena,U64990MH2019PTC100375,Golden Impex Private Limited,Director,08/11/2019,,Indian,Male,
8486014,Praveen Chopra,U82990UP2008PTC100237,Sai Consultancy Private Limited,Whole-time Director,15/02/2008,,Indian,Male,
9391113,Praveen Goyal,U10610WB2019PTC100166,Lakshmi Enterprises Private Limited,Independent Director,10/02/2019,,Indian,Male,
8403817,Deepa Chauhan,U68100MH2005PTC100279,Diamond Agro Private Limited,Director,12/03/2005,,Indian,Female,
8215619,Ramesh Bhatia,U63990WB2015PTC100339,Rudra Industries Private Limited,Director,29/10/2015,,Indian,Male,
8934440,Rekha Rao,U68100TN2024PTC100243,Metro Trading Private Limited,Additional Director,15/02/2024,,Indian,Female,
9739024,Manish Saxena,U41001TG2019PTC100433,Silver Overseas Private Limited,Whole-time Director,03/12/2019,,Indian,Male,
8904045,Arun Joshi,U45201TG2012PTC100824,Bharat Developers Private Limited,Nominee Director,14/10/2012,,Indian,Male,
9167271,Pradeep Kapoor,U64990DL2009PTC100692,Infinity Trading Private Limited,Director,22/02/2009,,Indian,Male,
8938019,Shalini Kapoor,U63990GJ2016PLC100558,Radiant Realty Limited,Whole-time Director,18/09/2016,,Indian,Female,
8022381,Praveen Iyer,U41001KA2020PTC100407,Silver Investments Private Limited,Managing Director,31/12/2020,,Indian,Male,
9075089,Satish Shah,U68100MH2009PTC100182,Bharat Industries Private Limited,Nominee Director,19/02/2009,,Indian,Male,
8607716,Pradeep Saxena,U70200WB2026PTC100370,Bharat Chemicals Private Limited,Managing Director,15/03/2026,,Indian,Male,
8921136,Suresh Malhotra,U14101UP2013PTC100617,Vikram Systems Private Limited,Director,03/07/2013,,Indian,Male,
8609197,Sunita Patel,U63990RJ2012PTC100393,Emerald Agro Private Limited,Director,11/04/2012,,Indian,Female,
9951776,Rekha Patel,U62011RJ2020PTC100949,Krishna Retail Private Limited,Independent Director,18/04/2020,,Indian,Female,
9016484,Seema Iyer,U70200MH2022PTC100480,Elite Systems Private Limited,Director,03/05/2022,,Indian,Female,
9400610,Shobha Jain,U63990RJ2022PTC100019,Superior Ventures Private Limited,Nominee Director,07/01/2023,,Indian,Female,RING-03
9449243,Deepak Malhotra,U47190HR2014PTC100868,Golden Distributors Private Limited,Additional Director,20/04/2014,,Indian,Male,
9774474,Alok Singh,U62011DL2017PTC100559,Royal Developers Private Limited,Independent Director,25/10/2017,,Indian,Male,
9329852,Manish Dubey,U46310TN2023PTC100114,Anmol Retail Private Limited,Whole-time Director,03/06/2023,,Indian,Male,RING-16
8646633,Nitin Chopra,U82990KA2023PTC100746,Zenith Developers Private Limited,Additional Director,04/07/2023,,Indian,Male,
8139932,Praveen Pandey,U46900TN2022PTC100245,Vishal Consultancy Private Limited,Nominee Director,29/10/2022,,Indian,Male,
8838289,Sandeep Arora,U63990KA2007PTC100797,Golden Solutions Private Limited,Managing Director,21/09/2007,,Indian,Male,
9573782,Vishal Tiwari,U70200UP2011PTC100791,Royal Foods Private Limited,Director,27/11/2011,,Indian,Male,
8948147,Sandeep Tiwari,U68100GJ2012PTC100456,Falcon Investments Private Limited,Whole-time Director,22/10/2012,,Indian,Male,
8882857,Geeta Gupta,U46900GJ2013PTC100810,Vikram Investments Private Limited,Independent Director,05/05/2013,,Indian,Female,
9584751,Alok Goyal,U46900RJ2010PTC100835,Superior Agro Private Limited,Director,09/05/2010,,Indian,Male,
8540656,Rajesh Patel,U14101RJ2015PTC100177,Vantage Systems Private Limited,Director,21/11/2015,,Indian,Male,
8412880,Sandeep Singh,U62011PB2012PTC100289,Suvidha Enterprises Private Limited,Additional Director,07/05/2012,,Indian,Male,
9788328,Amit Desai,U70200TG2018PTC100789,Vaibhav Traders Private Limited,Director,29/05/2018,,Indian,Male,
8060432,Lata Mehta,U63990HR2024PTC100158,Trident Services Private Limited,Director,06/12/2024,,Indian,Female,
9110000,Ravi Kapoor,U46900UP2022PTC100540,Falcon Consultancy Private Limited,Whole-time Director,16/09/2022,,Indian,Male,
9951003,Rakesh Chauhan,U82990KA2013PTC100221,Falcon Chemicals Private Limited,Whole-time Director,25/03/2013,,Indian,Male,
9256077,Amit Patel,U63990RJ2019PTC100013,Vantage Agro Private Limited,Managing Director,21/10/2019,,Indian,Male,RING-02
8053208,Meena Khanna,U62011PB2012PTC100289,Suvidha Enterprises Private Limited,Additional Director,27/04/2012,,Indian,Female,
9676788,Amit Kumar,U46900MH2009PTC100652,Golden Textiles Private Limited,Additional Director,03/11/2009,,Indian,Male,
9027414,Mukesh Kapoor,U41001MH2020PTC100459,Everest Agro Private Limited,Director,29/04/2020,,Indian,Male,
9376662,Naresh Patel,U47190MH2021PTC100941,Pioneer Systems Private Limited,Director,18/07/2021,,Indian,Male,
9750605,Manish Iyer,U41001UP2005PLC100615,Continental Overseas Limited,Nominee Director,31/03/2005,,Indian,Male,
9161823,Anjali Joshi,U46310RJ2008PTC100889,Ashirwad Constructions Private Limited,Independent Director,23/11/2008,,Indian,Female,
9933689,Yogesh Saxena,U82990RJ2017PTC100740,Shakti Industries Private Limited,Managing Director,23/10/2017,,Indian,Male,
8513644,Bharat Malhotra,U64990MH2026PTC100309,Royal Overseas Private Limited,Director,15/06/2026,,Indian,Male,
8466172,Mahesh Joshi,U41001UP2012PTC100136,Krishna Infra Private Limited,Managing Director,15/06/2012,,Indian,Male,
9687061,Gaurav Trivedi,U46900HR2019PTC100231,Suvidha Impex Private Limited,Whole-time Director,21/03/2019,,Indian,Male,
8018342,Pradeep Bansal,U46310DL2018PLC100507,Sai Services Limited,Director,16/07/2018,,Indian,Male,
9228992,Alok Desai,U46900DL2009PLC100284,Om Finance Limited,Whole-time Director,21/02/2009,,Indian,Male,
9422519,Swati Sharma,U47190PB2010PLC100331,Metro Technologies Limited,Director,02/01/2011,,Indian,Female,
8293337,Yogesh Sharma,U14101TG2022PTC100330,Universal Technologies Private Limited,Whole-time Director,01/05/2022,,Indian,Male,
9975356,Mukesh Jain,U63990GJ2009PLC100140,Shree Foods Limited,Additional Director,15/08/2009,,Indian,Male,
8248410,Dinesh Chopra,U70200MH2018PTC100038,Apex Consultancy Private Limited,Director,11/01/2019,,Indian,Male,RING-06
9734504,Rohit Mishra,U41001MH2005PLC100567,Vaibhav Logistics Limited,Director,15/08/2005,,Indian,Male,
8701724,Vishal Trivedi,U68100DL2021PTC100798,Ganesh Pharma Private Limited,Additional Director,22/11/2021,,Indian,Male,
8719942,Sandeep Yadav,U82990KA2009PTC100457,Lakshmi Systems Private Limited,Director,23/01/2009,,Indian,Male,
8916376,Meena Kapoor,U47190PB2016PTC100317,Prime Constructions Private Limited,Nominee Director,22/01/2016,,Indian,Female,
9452841,Deepak Chauhan,U70200GJ2020PTC100102,Anmol Realty Private Limited,Whole-time Director,15/01/2021,,Indian,Male,RING-15
9686876,Ravi Bansal,U74999TG2005PLC100991,Radiant Commodities Limited,Director,07/05/2005,,Indian,Male,
8265202,Radha Dubey,U62011RJ2018PTC100295,Elite Retail Private Limited,Whole-time Director,02/08/2018,,Indian,Female,
9112426,Manoj Tiwari,U10610HR2005PLC100777,Radiant Agro Limited,Director,20/06/2005,,Indian,Male,
8481720,Vivek Dubey,U64990TG2011PTC100235,Metro Investments Private Limited,Director,03/02/2011,,Indian,Male,
8076781,Mahesh Malhotra,U68100KA2015PTC100418,Pioneer Enterprises Private Limited,Director,09/02/2016,,Indian,Male,
9799767,Ishaan Chauhan,U64990TN2017PTC100685,Platinum Exports Private Limited,Nominee Director,12/02/2018,,Indian,Male,
9936348,Divya Kumar,U52290TG2021PTC100779,Sai Distributors Private Limited,Director,05/05/2021,,Indian,Female,
9503244,Sachin Mishra,U47190TG2005PTC100360,Suvidha Solutions Private Limited,Whole-time Director,20/09/2005,,Indian,Male,
9104266,Mahesh Dubey,U52290TG2009PTC100472,Silver Pharma Private Limited,Nominee Director,05/05/2009,,Indian,Male,
8222269,Dinesh Malhotra,U64990UP2022PTC100669,Nova Pharma Private Limited,Whole-time Director,03/05/2022,,Indian,Male,
8658890,Mahesh Mishra,U62011GJ2026PTC100117,Global Impex Private Limited,Additional Director,30/04/2026,,Indian,Male,
9880682,Naresh Khanna,U46310TN2019PTC100307,Global Finance Private Limited,Director,05/03/2019,,Indian,Male,
8472949,Suresh Chopra,U46900WB2017PTC100483,Vikram Industries Private Limited,Managing Director,25/03/2017,,Indian,Male,
9037108,Swati Bhatia,U62011HR2005PTC100449,Bharat Traders Private Limited,Additional Director,19/12/2005,,Indian,Female,
9226031,Vijay Rao,U46900UP2011PTC100373,Orion Traders Private Limited,Director,01/09/2011,,Indian,Male,
8067592,Nitin Kumar,U52290UP2017PTC100124,Vishal Systems Private Limited,Whole-time Director,11/05/2017,,Indian,Male,
9342418,Bharat Goyal,U14101KA2015PTC100829,Vikram Infra Private Limited,Managing Director,04/03/2015,,Indian,Male,
8756992,Girish Kapoor,U68100PB2022PTC100185,Meridian Constructions Private Limited,Whole-time Director,23/09/2022,,Indian,Male,
8757597,Girish Gupta,U46900KA2017PLC100249,Pioneer Ventures Limited,Director,06/03/2017,,Indian,Male,
8691411,Vishal Goyal,U64990RJ2021PTC100070,Elite Consultancy Private Limited,Director,20/12/2021,,Indian,Male,RING-11
8451031,Sunil Nair,U74999TG2005PTC100570,Apex Overseas Private Limited,Director,06/10/2005,,Indian,Male,
9132768,Rohit Desai,U46310TG2011PLC100750,Vishal Industries Limited,Whole-time Director,03/01/2012,,Indian,Male,
9400610,Shobha Jain,U41001RJ2022PTC100016,Superior Traders Private Limited,Director,09/12/2022,,Indian,Female,RING-03
9307069,Sanjay Tiwari,U45201MH2025PTC100050,Anmol Merchants Private Limited,Director,30/05/2025,,Indian,Male,RING-07
9104744,Nitin Trivedi,U14101UP2024PTC100565,Zenith Overseas Private Limited,Additional Director,11/07/2024,,Indian,Male,
9861419,Suresh Singh,U63990HR2024PTC100158,Trident Services Private Limited,Whole-time Director,10/01/2025,,Indian,Male,
9991632,Jyoti Chopra,U70200RJ2018PTC100953,Vishwa Developers Private Limited,Whole-time Director,09/05/2018,,Indian,Female,
8888673,Usha Arora,U70200TN2017PTC100812,National Enterprises Private Limited,Nominee Director,21/07/2017,,Indian,Female,
9969078,Geeta Patel,U41001RJ2022PTC100017,Superior Enterprises Private Limited,Director,06/01/2023,,Indian,Female,RING-03
9737337,Ravi Kumar,U82990TN2022PTC100189,Shree Trading Private Limited,Nominee Director,23/02/2022,,Indian,Male,
8311570,Mahesh Malhotra,U82990KA2021PTC100320,Vishal Investments Private Limited,Whole-time Director,03/06/2021,,Indian,Male,
8208830,Manoj Patel,U64990DL2013PTC100355,Vardhan Logistics Private Limited,Director,25/10/2013,,Indian,Male,
9330211,Anil Saxena,U63990WB2015PTC100130,Orion Commodities Private Limited,Nominee Director,31/07/2015,,Indian,Male,
8984701,Vijay Chauhan,U10610KA2016PTC100636,Vaibhav Finance Private Limited,Additional Director,18/10/2016,,Indian,Male,
8279780,Harish Tiwari,U74999TG2018PTC100077,Nova Agro Private Limited,Nominee Director,14/11/2018,,Indian,Male,RING-12
9955796,Bharat Gupta,U47190MH2021PTC100941,Pioneer Systems Private Limited,Additional Director,03/07/2021,,Indian,Male,
9903067,Vikram Iyer,U70200RJ2018PTC100953,Vishwa Developers Private Limited,Additional Director,30/04/2018,,Indian,Male,
9839068,Ravi Mishra,U52290RJ2008PTC100264,Krishna Developers Private Limited,Additional Director,23/11/2008,,Indian,Male,
8900162,Ramesh Sharma,U14101TG2024PLC100127,Metro Retail Limited,Whole-time Director,16/11/2024,,Indian,Male,
9768789,Sanjay Joshi,U52290TG2021PTC100779,Sai Distributors Private Limited,Director,18/04/2021,,Indian,Male,
8643419,Alok Saxena,U10610GJ2020PTC100104,Anmol Distributors Private Limited,Director,05/01/2021,,Indian,Male,RING-15
9498346,Manish Agarwal,U46310TG2015PTC100780,Skyline Impex Private Limited,Independent Director,27/05/2015,,Indian,Male,
8167124,Rahul Saxena,U41001MH2012PTC100807,Platinum Overseas Private Limited,Director,06/03/2012,,Indian,Male,
9883833,Neha Kapoor,U74999TG2015PLC100240,Vinayak Constructions Limited,Additional Director,07/10/2015,,Indian,Female,
8950236,Radha Reddy,U46310MH2015PTC100549,Om Exports Private Limited,Director,21/03/2015,,Indian,Female,
8824077,Yogesh Dubey,U46900TG2016PTC100902,National Services Private Limited,Managing Director,17/05/2016,,Indian,Male,
8251923,Rajesh Saxena,U10610MH2007PLC100926,Trident Enterprises Limited,Director,17/02/2007,,Indian,Male,
8314604,Vinod Kapoor,U46900WB2009PTC100884,Ashirwad Infra Private Limited,Nominee Director,11/09/2009,,Indian,Male,
9136656,Satish Kapoor,U45201TN2024PTC100870,Vishal Ventures Private Limited,Additional Director,14/10/2024,,Indian,Male,
8311570,Mahesh Malhotra,U52290WB2020PTC100895,Rudra Services Private Limited,Director,21/04/2020,,Indian,Male,
9831959,Rohit Yadav,U82990MH2009PTC100831,Vantage Foods Private Limited,Director,09/11/2009,,Indian,Male,
9282983,Ravi Malhotra,U52290TG2020PTC100532,Orion Distributors Private Limited,Whole-time Director,20/04/2020,,Indian,Male,
9776419,Rahul Desai,U68100DL2021PTC100798,Ganesh Pharma Private Limited,Whole-time Director,24/12/2021,,Indian,Male,
8261707,Manoj Khanna,U45201WB2015PTC100842,Vikram Developers Private Limited,Director,29/05/2015,,Indian,Male,
9341642,Sachin Tiwari,U41001TN2024PTC100966,Rudra Impex Private Limited,Additional Director,30/09/2024,,Indian,Male,
8209627,Divya Rao,U64990UP2023PTC100855,Emerald Realty Private Limited,Nominee Director,09/01/2024,,Indian,Female,
9463927,Usha Rao,U82990UP2008PTC100237,Sai Consultancy Private Limited,Whole-time Director,02/03/2008,,Indian,Female,
9265131,Nisha Goyal,U10610HR2011PTC100844,Orion Finance Private Limited,Director,13/09/2011,,Indian,Female,
8164846,Deepak Singh,U10610KA2017PTC100865,Nova Chemicals Private Limited,Independent Director,18/03/2017,,Indian,Male,
8454562,Vinod Joshi,U62011PB2010PTC100908,Everest Trading Private Limited,Whole-time Director,02/10/2010,,Indian,Male,
8996029,Sanjay Chopra,U74999KA2016PLC100899,Krishna Logistics Limited,Director,13/08/2016,,Indian,Male,
8468993,Shobha Kapoor,U63990RJ2012PTC100393,Emerald Agro Private Limited,Whole-time Director,08/03/2012,,Indian,Female,
8509469,Vijay Jain,U14101HR2005PTC100913,Diamond Infra Private Limited,Director,30/05/2005,,Indian,Male,
9159498,Ramesh Sharma,U10610HR2023PTC100867,Anmol Solutions Private Limited,Whole-time Director,25/10/2023,,Indian,Male,
9400610,Shobha Jain,U82990RJ2022PTC100022,Superior Foods Private Limited,Director,31/12/2022,,Indian,Female,RING-03
9692978,Mahesh Rao,U14101MH2015PTC100522,Orion Consultancy Private Limited,Director,01/12/2015,,Indian,Male,
9598562,Ramesh Chauhan,U68100PB2017PTC100552,Royal Merchants Private Limited,Director,15/09/2017,,Indian,Male,
9611158,Gaurav Shah,U68100HR2012PTC100208,Orion Impex Private Limited,Director,18/05/2012,,Indian,Male,
9834558,Manish Patel,U47190TG2025PTC100316,Trident Commodities Private Limited,Whole-time Director,05/05/2025,,Indian,Male,
9075089,Satish Shah,U10610GJ2006PTC100509,Prime Services Private Limited,Managing Director,09/10/2006,,Indian,Male,
8314470,Naresh Joshi,U46310DL2005PTC100833,Skyline Industries Private Limited,Director,01/01/2006,,Indian,Male,
8034136,Vivek Desai,U82990DL2016PLC100603,Vardhan Infra Limited,Director,13/08/2016,,Indian,Male,
9637743,Rekha Chopra,U62011GJ2023PTC100392,Skyline Investments Private Limited,Managing Director,28/10/2023,,Indian,Female,
8310123,Geeta Mishra,U68100RJ2026PTC100145,Skyline Constructions Private Limited,Nominee Director,30/01/2026,,Indian,Female,
8110895,Girish Sharma,U70200UP2006PTC100794,National Foods Private Limited,Director,28/07/2006,,Indian,Male,
8923473,Alok Desai,U64990TG2022PLC100592,Meridian Overseas Limited,Whole-time Director,19/10/2022,,Indian,Male,
9741227,Bharat Chauhan,U46310MH2015PTC100549,Om Exports Private Limited,Director,25/03/2015,,Indian,Male,
9432424,Rahul Chopra,U47190DL2014PTC100494,Krishna Agro Private Limited,Independent Director,13/09/2014,,Indian,Male,
8931274,Sandeep Mehta,U64990TN2012PTC100925,Orion Technologies Private Limited,Director,24/08/2012,,Indian,Male,
9763446,Nitin Kumar,U52290DL2021PTC100242,Platinum Foods Private Limited,Managing Director,31/08/2021,,Indian,Male,
9862974,Usha Gupta,U63990HR2013PTC100382,Sai Constructions Private Limited,Additional Director,22/09/2013,,Indian,Female,
9669277,Rajesh Bhatia,U52290PB2026PTC100323,Shree Realty Private Limited,Managing Director,05/04/2026,,Indian,Male,
8400298,Sachin Reddy,U64990WB2020PLC100937,Vertex Investments Limited,Additional Director,11/04/2020,,Indian,Male,
9549267,Praveen Goyal,U82990UP2016PTC100568,Shakti Retail Private Limited,Additional Director,28/03/2016,,Indian,Male,
9885899,Bharat Shah,U47190TN2023PTC100061,Emerald Logistics Private Limited,Director,01/02/2023,,Indian,Male,RING-09
9533179,Praveen Chopra,U14101MH2011PTC100897,Zenith Technologies Private Limited,Independent Director,25/03/2011,,Indian,Male,
9104266,Mahesh Dubey,U14101KA2010PTC100761,Silver Enterprises Private Limited,Director,30/04/2010,,Indian,Male,
9135542,Vivek Chauhan,U46310GJ2007PTC100508,Vertex Consultancy Private Limited,Nominee Director,23/07/2007,,Indian,Male,
9669277,Rajesh Bhatia,U46900WB2005PTC100730,Trident Merchants Private Limited,Managing Director,17/01/2006,,Indian,Male,
8969604,Arun Goyal,U46310MH2026PTC100906,Om Technologies Private Limited,Director,24/04/2026,,Indian,Male,
9418166,Ashok Bansal,U10610KA2011PTC100125,Om Developers Private Limited,Director,17/06/2011,,Indian,Male,
9375847,Madhuri Chauhan,U64990UP2023PTC100919,National Chemicals Private Limited,Director,18/04/2023,,Indian,Female,
9641257,Vijay Jain,U41001TG2013PTC100385,Diamond Enterprises Private Limited,Director,17/08/2013,,Indian,Male,
8792661,Sanjay Joshi,U45201TN2022PLC100792,Sai Infra Limited,Director,18/10/2022,,Indian,Male,
9157942,Ramesh Sharma,U63990KA2020PLC100664,Vantage Finance Limited,Whole-time Director,22/03/2020,,Indian,Male,
8708360,Sarita Saxena,U46310GJ2015PTC100419,Emerald Traders Private Limited,Director,28/05/2015,,Indian,Female,
8277953,Ajay Kapoor,U45201MH2018PTC100944,Vishwa Investments Private Limited,Director,21/03/2018,,Indian,Male,
8198653,Manoj Patel,U41001UP2012PTC100136,Krishna Infra Private Limited,Whole-time Director,08/07/2012,,Indian,Male,
9168388,Sanjay Saxena,U62011TN2019PTC100160,Om Solutions Private Limited,Managing Director,19/07/2019,,Indian,Male,
8896827,Praveen Sharma,U68100TN2024PTC100243,Metro Trading Private Limited,Whole-time Director,17/02/2024,,Indian,Male,
8800283,Yogesh Nair,U46900TN2018PTC100874,Sunrise Industries Private Limited,Managing Director,10/01/2019,,Indian,Male,
8310553,Girish Shah,U63990UP2023PTC100811,Om Commodities Private Limited,Managing Director,22/02/2023,,Indian,Male,
9037363,Ajay Malhotra,U82990MH2020PTC100673,Continental Infra Private Limited,Whole-time Director,01/11/2020,,Indian,Male,
8444193,Sarita Patel,U46310TN2023PTC100114,Anmol Retail Private Limited,Director,05/06/2023,,Indian,Female,RING-16
8937590,Madhuri Sharma,U64990UP2022PTC100669,Nova Pharma Private Limited,Whole-time Director,29/05/2022,,Indian,Female,
9027414,Mukesh Kapoor,U82990KA2009PTC100766,Infinity Agro Private Limited,Additional Director,22/04/2009,,Indian,Male,
9852374,Pooja Verma,U46310UP2006PTC100828,Vaibhav Retail Private Limited,Director,31/07/2006,,Indian,Female,
9168875,Deepa Kumar,U74999RJ2010PTC100754,Skyline Overseas Private Limited,Director,13/02/2010,,Indian,Female,
9885899,Bharat Shah,U70200TN2023PLC100057,Emerald Chemicals Limited,Director,28/01/2023,,Indian,Male,RING-09
8808586,Amit Mehta,U74999GJ2015PTC100477,Superior Technologies Private Limited,Director,16/02/2016,,Indian,Male,
8458517,Bharat Verma,U74999PB2019PTC100002,Horizon Exports Private Limited,Nominee Director,20/03/2019,,Indian,Male,RING-01
8476884,Girish Verma,U46900WB2017PTC100483,Vikram Industries Private Limited,Whole-time Director,03/05/2017,,Indian,Male,
8604761,Rekha Jain,U52290MH2015PTC100239,Royal Pharma Private Limited,Managing Director,11/12/2015,,Indian,Female,
9456936,Sachin Sharma,U46310MH2012PTC100644,Sai Logistics Private Limited,Director,25/02/2012,,Indian,Male,
8064719,Meena Goyal,U82990MH2013PTC100134,Bharat Trading Private Limited,Nominee Director,26/06/2013,,Indian,Female,
8219624,Pradeep Desai,U68100TN2013PTC100142,Global Distributors Private Limited,Nominee Director,06/10/2013,,Indian,Male,
9447643,Vinod Joshi,U10610GJ2020PTC100103,Anmol Exports Private Limited,Additional Director,04/01/2021,,Indian,Male,RING-15
9605316,Vijay Trivedi,U14101RJ2017PTC100150,Aastha Merchants Private Limited,Director,31/08/2017,,Indian,Male,
8030881,Arun Chauhan,U70200GJ2013PTC100731,Radiant Commodities Private Limited,Director,02/02/2014,,Indian,Male,
9032274,Rakesh Dubey,U14101WB2026PTC100713,Nova Impex Private Limited,Director,20/02/2026,,Indian,Male,
9951787,Seema Goyal,U14101HR2013PTC100179,Vinayak Retail Private Limited,Nominee Director,05/10/2013,,Indian,Female,
8643419,Alok Saxena,U52290GJ2020PTC100106,Anmol Services Private Limited,Managing Director,22/12/2020,,Indian,Male,RING-15
9699595,Vishal Chopra,U10610UP2016PTC100817,Sai Chemicals Private Limited,Whole-time Director,19/03/2016,,Indian,Male,
9634140,Rahul Verma,U46900DL2007PTC100577,Apex Finance Private Limited,Managing Director,14/12/2007,,Indian,Male,
9245130,Alok Dubey,U68100MH2021PLC100095,Lakshmi Investments Limited,Nominee Director,24/10/2021,,Indian,Male,RING-14
9060411,Praveen Pandey,U10610UP2023PTC100390,Diamond Foods Private Limited,Whole-time Director,28/10/2023,,Indian,Male,
8743717,Vishal Khanna,U68100KA2006PTC100371,Pioneer Merchants Private Limited,Nominee Director,28/03/2006,,Indian,Male,
8277953,Ajay Kapoor,U82990MH2017PTC100524,Vishwa Foods Private Limited,Director,07/03/2017,,Indian,Male,
9195603,Deepak Trivedi,U68100TG2022PTC100463,Vaibhav Chemicals Private Limited,Managing Director,22/03/2022,,Indian,Male,
9358960,Girish Agarwal,U47190KA2025PLC100821,Shakti Retail Limited,Director,28/09/2025,,Indian,Male,
8967638,Harish Dubey,U62011MH2017PTC100560,Continental Ventures Private Limited,Additional Director,24/03/2017,,Indian,Male,
8789234,Suresh Gupta,U63990MH2016PTC100252,Aastha Systems Private Limited,Additional Director,16/02/2016,,Indian,Male,
9205783,Madhuri Kapoor,U63990MH2019PTC100168,Vishwa Industries Private Limited,Director,12/03/2019,,Indian,Female,
8444193,Sarita Patel,U10610TN2023PLC100107,Anmol Technologies Limited,Additional Director,12/06/2023,,Indian,Female,RING-16
9571239,Sandeep Trivedi,U10610GJ2006PTC100509,Prime Services Private Limited,Director,25/09/2006,,Indian,Male,
8286111,Alok Patel,U70200KA2026PTC100327,Everest Investments Private Limited,Whole-time Director,25/05/2026,,Indian,Male,
8762441,Mahesh Mehta,U45201TN2020PTC100467,Apex Enterprises Private Limited,Whole-time Director,24/01/2021,,Indian,Male,
9245130,Alok Dubey,U64990MH2021PTC100097,Lakshmi Agro Private Limited,Director,18/09/2021,,Indian,Male,RING-14
9366353,Alok Kumar,U64990PB2014PTC100167,Shree Exports Private Limited,Managing Director,17/02/2015,,Indian,Male,
8288930,Alok Arora,U70200WB2010PTC100698,Elite Developers Private Limited,Director,14/08/2010,,Indian,Male,
8189019,Yogesh Shah,U70200GJ2013PTC100731,Radiant Commodities Private Limited,Nominee Director,14/02/2014,,Indian,Male,
9598251,Vishal Reddy,U52290UP2018PTC100781,Radiant Foods Private Limited,Managing Director,09/05/2018,,Indian,Male,
8500323,Rakesh Joshi,U10610PB2013PTC100122,Sunrise Finance Private Limited,Director,17/11/2013,,Indian,Male,
9672770,Anjali Malhotra,U14101MH2011PTC100897,Zenith Technologies Private Limited,Managing Director,28/03/2011,,Indian,Female,
9601363,Neha Saxena,U74999MH2020PTC100398,Falcon Systems Private Limited,Additional Director,14/03/2020,,Indian,Female,
8306601,Kunal Yadav,U74999UP2013PTC100173,Platinum Solutions Private Limited,Director,20/01/2014,,Indian,Male,
9629177,Rajesh Iyer,U82990WB2014PLC100972,Platinum Logistics Limited,Nominee Director,26/12/2014,,Indian,Male,
9916811,Usha Agarwal,U14101UP2013PTC100617,Vikram Systems Private Limited,Director,22/06/2013,,Indian,Female,
8987235,Ramesh Tiwari,U70200RJ2015PTC100905,Suvidha Foods Private Limited,Director,03/11/2015,,Indian,Male,
9436205,Vikram Sharma,U62011RJ2025PTC100301,Shree Ventures Private Limited,Whole-time Director,23/06/2025,,Indian,Male,
8012452,Vishal Trivedi,U10610TG2022PTC100760,Golden Realty Private Limited,Director,05/02/2022,,Indian,Male,
9878554,Geeta Agarwal,U62011KA2005PTC100138,Vishwa Services Private Limited,Director,21/07/2005,,Indian,Female,
8512798,Jyoti Rao,U46310UP2007PTC100571,Skyline Traders Private Limited,Managing Director,01/06/2007,,Indian,Female,
8813934,Deepa Mehta,U10610TN2008PTC100391,National Logistics Private Limited,Director,15/06/2008,,Indian,Female,
9027414,Mukesh Kapoor,U63990PB2021PLC100217,Orion Industries Limited,Additional Director,01/01/2022,,Indian,Male,
8251923,Rajesh Saxena,U52290TG2009PTC100472,Silver Pharma Private Limited,Director,17/05/2009,,Indian,Male,
8202800,Nitin Bhatia,U62011MH2022PTC100144,Trident Overseas Private Limited,Additional Director,12/08/2022,,Indian,Male,
9655128,Gaurav Singh,U45201RJ2021PTC100072,Elite Pharma Private Limited,Director,25/10/2021,,Indian,Male,RING-11
